MunicipioNome | MunicipioCodigo | Ano | ICV
Conceição do Rio Verde | 3117702 | 2017 | 100.0
Conceição do Rio Verde | 3117702 | 2018 | 100.0
Conceição do Rio Verde | 3117702 | 2019 | 100.0
Conceição do Rio Verde | 3117702 | 2020 | 100.0
Cônego Marinho | 3117836 | 2015 | 100.0
Cônego Marinho | 3117836 | 2016 | 97.61345666991237
Cônego Marinho | 3117836 | 2017 | 87.5
Cônego Marinho | 3117836 | 2018 | 65.33454545454545
Cônego Marinho | 3117836 | 2019 | 62.5
Cônego Marinho | 3117836 | 2020 | 79.30274247491639
Congonhal | 3117900 | 2015 | 73.82173418972333
Congonhal | 3117900 | 2016 | 75.0
Congonhal | 3117900 | 2017 | 100.0
Congonhal | 3117900 | 2018 | 100.0
Congonhal | 3117900 | 2019 | 100.0
Congonhal | 3117900 | 2020 | 100.0
Cordislândia | 3119005 | 2015 | 100.0
Cordislândia | 3119005 | 2016 | 94.05860516066213
Cordislândia | 3119005 | 2017 | 92.48545258620689
Cordislândia | 3119005 | 2018 | 100.0
Cordislândia | 3119005 | 2019 | 100.0
Cordislândia | 3119005 | 2020 | 88.3386287625418
Coronel Murta | 3119500 | 2015 | 100.0
Coronel Murta | 3119500 | 2016 | 87.5
Coronel Murta | 3119500 | 2017 | 75.00806034482758
Coronel Murta | 3119500 | 2018 | 87.5
Coronel Murta | 3119500 | 2019 | 100.0
Coronel Murta | 3119500 | 2020 | 96.36522157190635
Córrego Danta | 3119807 | 2015 | 90.53503458498024
Córrego Danta | 3119807 | 2016 | 93.00495861733204
Córrego Danta | 3119807 | 2017 | 100.0
Córrego Danta | 3119807 | 2018 | 100.0
Córrego Danta | 3119807 | 2019 | 98.20894913986537
Córrego Danta | 3119807 | 2020 | 100.0
Córrego do Bom Jesus | 3119906 | 2015 | 100.0
Córrego do Bom Jesus | 3119906 | 2016 | 100.0
Córrego do Bom Jesus | 3119906 | 2017 | 100.0
Córrego do Bom Jesus | 3119906 | 2018 | 100.0
Córrego do Bom Jesus | 3119906 | 2019 | 50.0
Córrego do Bom Jesus | 3119906 | 2020 | 100.0
Crisólita | 3120151 | 2015 | 100.0
Crisólita | 3120151 | 2016 | 84.9137852969815
Crisólita | 3120151 | 2017 | 100.0
