MunicipioNome | MunicipioCodigo | Ano | IES
Borda da Mata | 3108305 | 2019 | ?
Erros | 3108305 | 2020 | [snisModel.ES005, snisModel.ES006]
Borda da Mata | 3108305 | 2020 | ?
Erros | 3108404 | 2015 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Botelhos | 3108404 | 2015 | ?
Erros | 3108404 | 2016 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Botelhos | 3108404 | 2016 | ?
Erros | 3108404 | 2017 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Botelhos | 3108404 | 2017 | ?
Erros | 3108404 | 2018 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Botelhos | 3108404 | 2018 | ?
Erros | 3108404 | 2019 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Botelhos | 3108404 | 2019 | ?
Erros | 3108404 | 2020 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Botelhos | 3108404 | 2020 | ?
Erros | 3108503 | 2015 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Botumirim | 3108503 | 2015 | ?
Erros | 3108503 | 2016 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Botumirim | 3108503 | 2016 | ?
Erros | 3108503 | 2017 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Botumirim | 3108503 | 2017 | ?
Erros | 3108503 | 2018 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Botumirim | 3108503 | 2018 | ?
Erros | 3108503 | 2019 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Botumirim | 3108503 | 2019 | ?
Erros | 3108503 | 2020 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Botumirim | 3108503 | 2020 | ?
Erros | 3109600 | 2015 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Cachoeira da Prata | 3109600 | 2015 | ?
Erros | 3109600 | 2016 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Cachoeira da Prata | 3109600 | 2016 | ?
Erros | 3109600 | 2017 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Cachoeira da Prata | 3109600 | 2017 | ?
Erros | 3109600 | 2018 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Cachoeira da Prata | 3109600 | 2018 | ?
Erros | 3109600 | 2019 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Cachoeira da Prata | 3109600 | 2019 | ?
Erros | 3109600 | 2020 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Cachoeira da Prata | 3109600 | 2020 | ?
Erros | 3109709 | 2015 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Cachoeira de Minas | 3109709 | 2015 | ?
Erros | 3109709 | 2016 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Cachoeira de Minas | 3109709 | 2016 | ?
Erros | 3109709 | 2017 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Cachoeira de Minas | 3109709 | 2017 | ?
Erros | 3109709 | 2018 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Cachoeira de Minas | 3109709 | 2018 | ?
Erros | 3109709 | 2019 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Cachoeira de Minas | 3109709 | 2019 | ?
Erros | 3109709 | 2020 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Cachoeira de Minas | 3109709 | 2020 | ?
Erros | 3110103 | 2015 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Caiana | 3110103 | 2015 | ?
Erros | 3110103 | 2016 | [snisModel.IN024_AE, snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Caiana | 3110103 | 2016 | ?
Erros | 3110103 | 2017 | [snisModel.IN024_AE, snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Caiana | 3110103 | 2017 | ?
Erros | 3110103 | 2018 | [snisModel.IN024_AE, snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Caiana | 3110103 | 2018 | ?
Erros | 3110103 | 2019 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Caiana | 3110103 | 2019 | ?
Erros | 3110103 | 2020 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Caiana | 3110103 | 2020 | ?
Erros | 3110301 | 2015 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Caldas | 3110301 | 2015 | ?
Erros | 3110301 | 2016 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Caldas | 3110301 | 2016 | ?
Erros | 3110301 | 2017 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Caldas | 3110301 | 2017 | ?
Erros | 3110301 | 2018 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Caldas | 3110301 | 2018 | ?
Erros | 3110301 | 2019 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Caldas | 3110301 | 2019 | ?
Erros | 3110301 | 2020 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Caldas | 3110301 | 2020 | ?
Erros | 3110400 | 2015 | [snisModel.IN024_AE, snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Camacho | 3110400 | 2015 | ?
Erros | 3110400 | 2016 | [snisModel.IN024_AE, snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Camacho | 3110400 | 2016 | ?
Erros | 3110400 | 2017 | [snisModel.IN024_AE, snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Camacho | 3110400 | 2017 | ?
Erros | 3110400 | 2018 | [snisModel.IN024_AE, snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Camacho | 3110400 | 2018 | ?
Erros | 3110400 | 2019 | [snisModel.IN024_AE, snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Camacho | 3110400 | 2019 | ?
Erros | 3110400 | 2020 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Camacho | 3110400 | 2020 | ?
Erros | 3110707 | 2015 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Cambuquira | 3110707 | 2015 | ?
Erros | 3110707 | 2016 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Cambuquira | 3110707 | 2016 | ?
Erros | 3110707 | 2017 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Cambuquira | 3110707 | 2017 | ?
Erros | 3110707 | 2018 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Cambuquira | 3110707 | 2018 | ?
Erros | 3110707 | 2019 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Cambuquira | 3110707 | 2019 | ?
Erros | 3110707 | 2020 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Cambuquira | 3110707 | 2020 | ?
Erros | 3110905 | 2015 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Campanha | 3110905 | 2015 | ?
Erros | 3110905 | 2016 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Campanha | 3110905 | 2016 | ?
Erros | 3110905 | 2017 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Campanha | 3110905 | 2017 | ?
Erros | 3110905 | 2018 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Campanha | 3110905 | 2018 | ?
Erros | 3110905 | 2019 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Campanha | 3110905 | 2019 | ?
Erros | 3110905 | 2020 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Campanha | 3110905 | 2020 | ?
Erros | 3111101 | 2015 | [snisModel.ES005, snisModel.ES006]
Campina Verde | 3111101 | 2015 | ?
Erros | 3111101 | 2016 | [snisModel.ES005, snisModel.ES006]
Campina Verde | 3111101 | 2016 | ?
Erros | 3111101 | 2017 | [snisModel.ES005, snisModel.ES006]
Campina Verde | 3111101 | 2017 | ?
Erros | 3111101 | 2018 | [snisModel.ES005, snisModel.ES006]
Campina Verde | 3111101 | 2018 | ?
Erros | 3111101 | 2019 | [snisModel.ES005, snisModel.ES006]
Campina Verde | 3111101 | 2019 | ?
Erros | 3111101 | 2020 | [snisModel.ES005, snisModel.ES006]
Campina Verde | 3111101 | 2020 | ?
Erros | 3111309 | 2015 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Campo do Meio | 3111309 | 2015 | ?
Erros | 3111309 | 2016 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Campo do Meio | 3111309 | 2016 | ?
Erros | 3111309 | 2017 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Campo do Meio | 3111309 | 2017 | ?
Erros | 3111309 | 2018 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Campo do Meio | 3111309 | 2018 | ?
Erros | 3111309 | 2019 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Campo do Meio | 3111309 | 2019 | ?
Erros | 3111309 | 2020 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Campo do Meio | 3111309 | 2020 | ?
Erros | 3111408 | 2015 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Campo Florido | 3111408 | 2015 | ?
Erros | 3111408 | 2016 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Campo Florido | 3111408 | 2016 | ?
Erros | 3111408 | 2017 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Campo Florido | 3111408 | 2017 | ?
Erros | 3111408 | 2018 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Campo Florido | 3111408 | 2018 | ?
Erros | 3111408 | 2019 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Campo Florido | 3111408 | 2019 | ?
Erros | 3111408 | 2020 | [snisModel.ES005, snisModel.ES006, esgotoModel.CT]
Campo Florido | 3111408 | 2020 | ?
Erros | 3111705 | 2015 | [snisModel.IN024_AE, snisModel.ES005, snisModel.ES006, esgotoModel.CT]
