MunicipioNome | MunicipioCodigo | Ano | IAB
Erros | 3119906 | 2015 | [snisModel.AG012, snisModel.IN022_AE, snisModel.IN022_AE, snisModel.IN049_AE, snisModel.QD006, snisModel.QD007, snisModel.QD008, snisModel.QD009, snisModel.QD026, snisModel.QD019, snisModel.QD020, snisModel.QD027, snisModel.QD028]
Córrego do Bom Jesus | 3119906 | 2015 | ?
Erros | 3119906 | 2016 | [snisModel.AG012, snisModel.IN022_AE, snisModel.IN022_AE, snisModel.IN049_AE, snisModel.QD006, snisModel.QD007, snisModel.QD008, snisModel.QD009, snisModel.QD026, snisModel.QD019, snisModel.QD020, snisModel.QD027, snisModel.QD028]
Córrego do Bom Jesus | 3119906 | 2016 | ?
Córrego do Bom Jesus | 3119906 | 2017 | 67.35882619533197
Córrego do Bom Jesus | 3119906 | 2018 | 67.43757924097709
Córrego do Bom Jesus | 3119906 | 2019 | 64.06901208244493
Córrego do Bom Jesus | 3119906 | 2020 | 64.66893358331913
Crisólita | 3120151 | 2015 | 39.01948109058927
Crisólita | 3120151 | 2016 | 37.42819575060954
Crisólita | 3120151 | 2017 | 37.91977299880526
Crisólita | 3120151 | 2018 | 37.762678509230234
Crisólita | 3120151 | 2019 | 23.15941636582431
Crisólita | 3120151 | 2020 | 31.200869286544087
Cristais | 3120201 | 2015 | 68.14846574190837
Cristais | 3120201 | 2016 | 68.78162153098013
Cristais | 3120201 | 2017 | 68.92528399356895
Cristais | 3120201 | 2018 | 68.90962651802784
Cristais | 3120201 | 2019 | 68.44180238870793
Cristais | 3120201 | 2020 | 66.96707210904658
Cristina | 3120508 | 2015 | 67.0040404040404
Cristina | 3120508 | 2016 | 67.41879174256223
Cristina | 3120508 | 2017 | 67.26700060716455
Cristina | 3120508 | 2018 | 66.34486945962355
