MunicipioNome | MunicipioCodigo | Ano | IRH
Carmo de Minas | 3114105 | 2020 | 77.645
Carneirinho | 3114550 | 2015 | 80.36
Carneirinho | 3114550 | 2016 | 79.785
Carneirinho | 3114550 | 2017 | 79.63
Carneirinho | 3114550 | 2018 | 79.8
Carneirinho | 3114550 | 2019 | 79.91499999999999
Carneirinho | 3114550 | 2020 | 80.255
Carrancas | 3114600 | 2015 | 78.405
Carrancas | 3114600 | 2016 | 80.445
Carrancas | 3114600 | 2017 | 79.475
Carrancas | 3114600 | 2018 | 79.655
Carrancas | 3114600 | 2019 | 79.18
Carrancas | 3114600 | 2020 | 78.545
Carvalhópolis | 3114709 | 2015 | 78.405
Carvalhópolis | 3114709 | 2016 | 78.445
Carvalhópolis | 3114709 | 2017 | 77.995
Carvalhópolis | 3114709 | 2018 | 77.74
Carvalhópolis | 3114709 | 2019 | 77.58500000000001
Carvalhópolis | 3114709 | 2020 | 74.405
Carvalhos | 3114808 | 2015 | 78.405
Carvalhos | 3114808 | 2016 | 80.445
Carvalhos | 3114808 | 2017 | 79.475
Carvalhos | 3114808 | 2018 | 79.655
Carvalhos | 3114808 | 2019 | 79.18
Carvalhos | 3114808 | 2020 | 78.545
Cascalho Rico | 3115003 | 2015 | 79.37
Cascalho Rico | 3115003 | 2016 | 78.88
Cascalho Rico | 3115003 | 2017 | 77.675
Cascalho Rico | 3115003 | 2018 | 78.28999999999999
Cascalho Rico | 3115003 | 2019 | 78.83500000000001
Cascalho Rico | 3115003 | 2020 | 78.805
Conceição da Barra de Minas | 3115201 | 2015 | 78.405
Conceição da Barra de Minas | 3115201 | 2016 | 79.255
Conceição da Barra de Minas | 3115201 | 2017 | 77.625
Conceição da Barra de Minas | 3115201 | 2018 | 78.41
Conceição da Barra de Minas | 3115201 | 2019 | 78.24
Conceição da Barra de Minas | 3115201 | 2020 | 77.345
Cedro do Abaeté | 3115607 | 2015 | 79.62
Cedro do Abaeté | 3115607 | 2016 | 79.105
Cedro do Abaeté | 3115607 | 2017 | 78.83
Cedro do Abaeté | 3115607 | 2018 | 77.86
Cedro do Abaeté | 3115607 | 2019 | 78.685
Cedro do Abaeté | 3115607 | 2020 | 78.67
Chiador | 3116209 | 2015 | 79.34
Chiador | 3116209 | 2016 | 79.395
Chiador | 3116209 | 2017 | 79.16499999999999
Chiador | 3116209 | 2018 | 78.575
