MunicipioNome | MunicipioCodigo | Ano | IRS
Comercinho | 3117009 | 2019 | 16.88
Comercinho | 3117009 | 2020 | 17.266666666666666
Conceição das Pedras | 3117207 | 2015 | 33.333333333333336
Conceição das Pedras | 3117207 | 2016 | 33.333333333333336
Conceição das Pedras | 3117207 | 2017 | 33.333333333333336
Conceição das Pedras | 3117207 | 2018 | 33.333333333333336
Conceição das Pedras | 3117207 | 2019 | 33.333333333333336
Conceição das Pedras | 3117207 | 2020 | 33.333333333333336
Conceição do Rio Verde | 3117702 | 2015 | 2.766666666666667
Conceição do Rio Verde | 3117702 | 2016 | 33.333333333333336
Conceição do Rio Verde | 3117702 | 2017 | 33.333333333333336
Conceição do Rio Verde | 3117702 | 2018 | 33.333333333333336
Conceição do Rio Verde | 3117702 | 2019 | 33.333333333333336
Conceição do Rio Verde | 3117702 | 2020 | ?
Cônego Marinho | 3117836 | 2015 | 33.333333333333336
Cônego Marinho | 3117836 | 2016 | 33.333333333333336
Cônego Marinho | 3117836 | 2017 | 33.333333333333336
Cônego Marinho | 3117836 | 2018 | 33.333333333333336
Cônego Marinho | 3117836 | 2019 | 33.333333333333336
Cônego Marinho | 3117836 | 2020 | 33.333333333333336
Congonhal | 3117900 | 2015 | ?
Congonhal | 3117900 | 2016 | ?
Congonhal | 3117900 | 2017 | ?
Congonhal | 3117900 | 2018 | ?
Congonhal | 3117900 | 2019 | ?
Congonhal | 3117900 | 2020 | ?
Cordislândia | 3119005 | 2015 | ?
Cordislândia | 3119005 | 2016 | 33.333333333333336
Cordislândia | 3119005 | 2017 | 33.333333333333336
Cordislândia | 3119005 | 2018 | 33.333333333333336
Cordislândia | 3119005 | 2019 | 28.17
Cordislândia | 3119005 | 2020 | 33.333333333333336
Coronel Murta | 3119500 | 2015 | 33.333333333333336
Coronel Murta | 3119500 | 2016 | 33.333333333333336
Coronel Murta | 3119500 | 2017 | 33.333333333333336
Coronel Murta | 3119500 | 2018 | 33.333333333333336
Coronel Murta | 3119500 | 2019 | 33.333333333333336
Coronel Murta | 3119500 | 2020 | 33.333333333333336
Córrego Danta | 3119807 | 2015 | ?
Córrego Danta | 3119807 | 2016 | ?
Córrego Danta | 3119807 | 2017 | ?
Córrego Danta | 3119807 | 2018 | ?
Córrego Danta | 3119807 | 2019 | ?
Córrego Danta | 3119807 | 2020 | ?
Córrego do Bom Jesus | 3119906 | 2015 | ?
Córrego do Bom Jesus | 3119906 | 2016 | ?
Córrego do Bom Jesus | 3119906 | 2017 | ?
Córrego do Bom Jesus | 3119906 | 2018 | ?
Córrego do Bom Jesus | 3119906 | 2019 | ?
Córrego do Bom Jesus | 3119906 | 2020 | ?
Crisólita | 3120151 | 2015 | ?
Crisólita | 3120151 | 2016 | ?
Crisólita | 3120151 | 2017 | 33.333333333333336
Crisólita | 3120151 | 2018 | 26.076666666666668
Crisólita | 3120151 | 2019 | 25.853333333333335
Crisólita | 3120151 | 2020 | 33.333333333333336
Cristais | 3120201 | 2015 | ?
Cristais | 3120201 | 2016 | ?
Cristais | 3120201 | 2017 | ?
Cristais | 3120201 | 2018 | ?
Cristais | 3120201 | 2019 | ?
Cristais | 3120201 | 2020 | ?
Cristina | 3120508 | 2015 | ?
Cristina | 3120508 | 2016 | ?
Cristina | 3120508 | 2017 | ?
Cristina | 3120508 | 2018 | ?
Cristina | 3120508 | 2019 | ?
Cristina | 3120508 | 2020 | ?
Crucilândia | 3120607 | 2015 | 60.0
Crucilândia | 3120607 | 2016 | 60.0
Crucilândia | 3120607 | 2017 | 33.333333333333336
Crucilândia | 3120607 | 2018 | 33.333333333333336
Crucilândia | 3120607 | 2019 | 33.333333333333336
Crucilândia | 3120607 | 2020 | 33.333333333333336
Cruzília | 3120805 | 2015 | 33.333333333333336
Cruzília | 3120805 | 2016 | ?
Cruzília | 3120805 | 2017 | ?
Cruzília | 3120805 | 2018 | ?
Cruzília | 3120805 | 2019 | ?
Cruzília | 3120805 | 2020 | ?
Curral de Dentro | 3120870 | 2015 | ?
Curral de Dentro | 3120870 | 2016 | ?
Curral de Dentro | 3120870 | 2017 | 33.333333333333336
Curral de Dentro | 3120870 | 2018 | 33.333333333333336
Curral de Dentro | 3120870 | 2019 | 33.333333333333336
Curral de Dentro | 3120870 | 2020 | 33.333333333333336
Datas | 3121001 | 2015 | 33.24
Datas | 3121001 | 2016 | 32.983333333333334
Datas | 3121001 | 2017 | 3.516666666666667
Datas | 3121001 | 2018 | 33.333333333333336
Datas | 3121001 | 2019 | 33.333333333333336
Datas | 3121001 | 2020 | 33.333333333333336
Delfim Moreira | 3121100 | 2015 | ?
Delfim Moreira | 3121100 | 2016 | ?
Delfim Moreira | 3121100 | 2017 | ?
Delfim Moreira | 3121100 | 2018 | ?
Delfim Moreira | 3121100 | 2019 | ?
Delfim Moreira | 3121100 | 2020 | ?
Delfinópolis | 3121209 | 2015 | 23.459999999999997
Delfinópolis | 3121209 | 2016 | 33.333333333333336
Delfinópolis | 3121209 | 2017 | 33.333333333333336
Delfinópolis | 3121209 | 2018 | ?
Delfinópolis | 3121209 | 2019 | 33.333333333333336
Delfinópolis | 3121209 | 2020 | 33.333333333333336
Delta | 3121258 | 2015 | ?
Delta | 3121258 | 2016 | ?
Delta | 3121258 | 2017 | ?
Delta | 3121258 | 2018 | ?
Delta | 3121258 | 2019 | ?
Delta | 3121258 | 2020 | ?
Dom Viçoso | 3122801 | 2015 | 33.333333333333336
Dom Viçoso | 3122801 | 2016 | 33.333333333333336
Dom Viçoso | 3122801 | 2017 | 33.333333333333336
Dom Viçoso | 3122801 | 2018 | 33.333333333333336
Dom Viçoso | 3122801 | 2019 | 33.333333333333336
Dom Viçoso | 3122801 | 2020 | 33.333333333333336
Dona Eusébia | 3122900 | 2015 | ?
Dona Eusébia | 3122900 | 2016 | ?
Dona Eusébia | 3122900 | 2017 | ?
Dona Eusébia | 3122900 | 2018 | ?
Dona Eusébia | 3122900 | 2019 | ?
Dona Eusébia | 3122900 | 2020 | ?
Douradoquara | 3123502 | 2015 | ?
Douradoquara | 3123502 | 2016 | ?
Douradoquara | 3123502 | 2017 | 60.0
Douradoquara | 3123502 | 2018 | 60.0
Douradoquara | 3123502 | 2019 | ?
Douradoquara | 3123502 | 2020 | 59.870000000000005
Entre Rios de Minas | 3123908 | 2015 | 33.333333333333336
Entre Rios de Minas | 3123908 | 2016 | 33.333333333333336
Entre Rios de Minas | 3123908 | 2017 | 33.333333333333336
Entre Rios de Minas | 3123908 | 2018 | ?
Entre Rios de Minas | 3123908 | 2019 | 33.333333333333336
Entre Rios de Minas | 3123908 | 2020 | 33.333333333333336
Estiva | 3124500 | 2015 | ?
Estiva | 3124500 | 2016 | ?
Estiva | 3124500 | 2017 | ?
Estiva | 3124500 | 2018 | ?
Estiva | 3124500 | 2019 | ?
Estiva | 3124500 | 2020 | 33.333333333333336
Estrela do Indaiá | 3124708 | 2015 | 33.333333333333336
Estrela do Indaiá | 3124708 | 2016 | 33.333333333333336
Estrela do Indaiá | 3124708 | 2017 | 33.333333333333336
Estrela do Indaiá | 3124708 | 2018 | 33.333333333333336
Estrela do Indaiá | 3124708 | 2019 | 33.333333333333336
Estrela do Indaiá | 3124708 | 2020 | 33.333333333333336
Felício dos Santos | 3125408 | 2015 | ?
Felício dos Santos | 3125408 | 2016 | 33.333333333333336
Felício dos Santos | 3125408 | 2017 | 33.333333333333336
Felício dos Santos | 3125408 | 2018 | 33.333333333333336
Felício dos Santos | 3125408 | 2019 | 33.333333333333336
Felício dos Santos | 3125408 | 2020 | 33.333333333333336
São Gonçalo do Rio Preto | 3125507 | 2015 | 33.333333333333336
São Gonçalo do Rio Preto | 3125507 | 2016 | 33.333333333333336
São Gonçalo do Rio Preto | 3125507 | 2017 | 33.333333333333336
São Gonçalo do Rio Preto | 3125507 | 2018 | 33.333333333333336
São Gonçalo do Rio Preto | 3125507 | 2019 | 33.266666666666666
São Gonçalo do Rio Preto | 3125507 | 2020 | 33.333333333333336
Francisco Badaró | 3126505 | 2015 | 31.66
Francisco Badaró | 3126505 | 2016 | 33.333333333333336
Francisco Badaró | 3126505 | 2017 | ?
Francisco Badaró | 3126505 | 2018 | 18.62666666666667
Francisco Badaró | 3126505 | 2019 | 4.1433333333333335
Francisco Badaró | 3126505 | 2020 | 29.040000000000003
Glaucilândia | 3127354 | 2015 | 33.333333333333336
Glaucilândia | 3127354 | 2016 | 33.333333333333336
Glaucilândia | 3127354 | 2017 | ?
Glaucilândia | 3127354 | 2018 | ?
Glaucilândia | 3127354 | 2019 | ?
Glaucilândia | 3127354 | 2020 | ?
Gonçalves | 3127404 | 2015 | ?
Gonçalves | 3127404 | 2016 | ?
Gonçalves | 3127404 | 2017 | ?
Gonçalves | 3127404 | 2018 | ?
Gonçalves | 3127404 | 2019 | ?
Gonçalves | 3127404 | 2020 | ?
Grão Mogol | 3127800 | 2015 | 33.333333333333336
Grão Mogol | 3127800 | 2016 | 0.0
Grão Mogol | 3127800 | 2017 | 26.243333333333336
Grão Mogol | 3127800 | 2018 | 28.36
Grão Mogol | 3127800 | 2019 | 29.996666666666666
Grão Mogol | 3127800 | 2020 | 57.06666666666666
Guapé | 3128105 | 2015 | 33.333333333333336
Guapé | 3128105 | 2016 | 33.333333333333336
Guapé | 3128105 | 2017 | 33.333333333333336
Guapé | 3128105 | 2018 | ?
Guapé | 3128105 | 2019 | ?
Guapé | 3128105 | 2020 | ?
Guaranésia | 3128303 | 2015 | 33.333333333333336
Guaranésia | 3128303 | 2016 | 33.333333333333336
Guaranésia | 3128303 | 2017 | 33.333333333333336
Guaranésia | 3128303 | 2018 | ?
Guaranésia | 3128303 | 2019 | ?
Guaranésia | 3128303 | 2020 | ?
Guarará | 3128501 | 2015 | ?
Guarará | 3128501 | 2016 | ?
Guarará | 3128501 | 2017 | ?
Guarará | 3128501 | 2018 | ?
Guarará | 3128501 | 2019 | ?
Guarará | 3128501 | 2020 | ?
Guarda-Mor | 3128600 | 2015 | 24.66
Guarda-Mor | 3128600 | 2016 | 24.66
Guarda-Mor | 3128600 | 2017 | 26.426666666666666
Guarda-Mor | 3128600 | 2018 | 27.006666666666664
Guarda-Mor | 3128600 | 2019 | 27.05666666666667
Guarda-Mor | 3128600 | 2020 | 28.906666666666666
Guimarânia | 3128907 | 2015 | 33.333333333333336
Guimarânia | 3128907 | 2016 | 33.333333333333336
Guimarânia | 3128907 | 2017 | 33.333333333333336
Guimarânia | 3128907 | 2018 | 33.333333333333336
Guimarânia | 3128907 | 2019 | 33.333333333333336
Guimarânia | 3128907 | 2020 | 33.333333333333336
Guiricema | 3129004 | 2015 | 33.333333333333336
Guiricema | 3129004 | 2016 | 33.333333333333336
Guiricema | 3129004 | 2017 | 9.68
Guiricema | 3129004 | 2018 | ?
Guiricema | 3129004 | 2019 | ?
Guiricema | 3129004 | 2020 | ?
Heliodora | 3129202 | 2015 | 33.333333333333336
